model,dataset,stage,selection,num_disabled,newly_disabled_layer,disabled_layers,outlier_factor,baseline_acc,ablated_acc,recovery_pts
cnn,CIFAR10,PTQ,cumulative_top_outlier,1,conv3,conv3,5.243007122046404,66.01,66.02,0.009999999999990905
cnn,CIFAR10,PTQ,cumulative_top_outlier,2,fc1,conv3;fc1,5.061013468838235,66.01,66.03,0.01999999999999602
cnn,CIFAR10,PTQ,cumulative_top_outlier,3,conv2,conv3;fc1;conv2,4.81908314944787,66.01,66.01,0.0
cnn,CIFAR10,PTQ,cumulative_top_outlier,4,conv1,conv3;fc1;conv2;conv1,4.138510503807811,66.01,65.98,-0.030000000000001137
cnn,CIFAR10,PTQ,cumulative_top_outlier,5,conv4,conv3;fc1;conv2;conv1;conv4,3.7424581411543594,66.01,66.01,0.0
cnn,CIFAR10,PTQ,cumulative_low_outlier,1,fc2,fc2,1.9236963005658314,66.01,66.2,0.18999999999999773
cnn,CIFAR10,PTQ,cumulative_low_outlier,2,conv4,fc2;conv4,3.7424581411543594,66.01,66.2,0.18999999999999773
cnn,CIFAR10,PTQ,cumulative_low_outlier,3,conv1,fc2;conv4;conv1,4.138510503807811,66.01,66.3,0.28999999999999204
cnn,CIFAR10,PTQ,cumulative_low_outlier,4,conv2,fc2;conv4;conv1;conv2,4.81908314944787,66.01,66.15,0.14000000000000057
cnn,CIFAR10,PTQ,cumulative_low_outlier,5,fc1,fc2;conv4;conv1;conv2;fc1,5.061013468838235,66.01,66.15,0.14000000000000057
cnn,CIFAR10,QAT,cumulative_top_outlier,1,conv3,conv3,5.512428545314948,85.19,85.24,0.04999999999999716
cnn,CIFAR10,QAT,cumulative_top_outlier,2,conv2,conv3;conv2,4.841566852742086,85.19,85.24,0.04999999999999716
cnn,CIFAR10,QAT,cumulative_top_outlier,3,conv1,conv3;conv2;conv1,4.06923963803506,85.19,85.3,0.10999999999999943
cnn,CIFAR10,QAT,cumulative_top_outlier,4,fc1,conv3;conv2;conv1;fc1,4.012266994413753,85.19,85.29,0.10000000000000853
cnn,CIFAR10,QAT,cumulative_top_outlier,5,conv4,conv3;conv2;conv1;fc1;conv4,3.7059292038425644,85.19,85.29,0.10000000000000853
cnn,CIFAR10,QAT,cumulative_low_outlier,1,fc2,fc2,1.422395718895844,85.19,85.31,0.12000000000000455
cnn,CIFAR10,QAT,cumulative_low_outlier,2,conv4,fc2;conv4,3.7059292038425644,85.19,85.31,0.12000000000000455
cnn,CIFAR10,QAT,cumulative_low_outlier,3,fc1,fc2;conv4;fc1,4.012266994413753,85.19,85.36,0.1700000000000017
cnn,CIFAR10,QAT,cumulative_low_outlier,4,conv1,fc2;conv4;fc1;conv1,4.06923963803506,85.19,85.22,0.030000000000001137
cnn,CIFAR10,QAT,cumulative_low_outlier,5,conv2,fc2;conv4;fc1;conv1;conv2,4.841566852742086,85.19,85.34,0.15000000000000568
resnet18_no_weights,CIFAR10,PTQ,cumulative_top_outlier,1,layer2.1.conv2,layer2.1.conv2,6.76487129208989,82.27,82.36,0.09000000000000341
