model,dataset,init,seed,n_seeds,layer,hessian_trace
resnet50_no_weights,IMAGENET100,trained_fp32,,,conv1.weight,730.6314401626587
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer1.0.conv1.weight,133.9481298783246
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer1.0.conv2.weight,46.53189991682004
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer1.0.conv3.weight,86.09654179025203
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer1.0.downsample.0.weight,147.41130625406902
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer1.1.conv1.weight,11.06208488520454
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer1.1.conv2.weight,13.480213091923641
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer1.1.conv3.weight,6.526697278022766
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer1.2.conv1.weight,3.0167617628520187
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer1.2.conv2.weight,2.653793576410261
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer1.2.conv3.weight,1.4101987183094025
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer2.0.conv1.weight,25.597118179753142
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer2.0.conv2.weight,60.766609573364256
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer2.0.conv3.weight,28.75720351451152
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer2.0.downsample.0.weight,119.13022144024188
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer2.1.conv1.weight,10.024759292602539
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer2.1.conv2.weight,32.03077659606934
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer2.1.conv3.weight,19.893884225325152
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer2.2.conv1.weight,7.966734831149761
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer2.2.conv2.weight,9.855636460440499
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer2.2.conv3.weight,15.619304556595651
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer2.3.conv1.weight,30.049803574879963
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer2.3.conv2.weight,43.19922985750086
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer2.3.conv3.weight,23.8594181320884
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.0.conv1.weight,174.5894284929548
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.0.conv2.weight,220.12628580729168
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.0.conv3.weight,152.8435487567254
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.0.downsample.0.weight,284.819032396589
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.1.conv1.weight,11.537941820481244
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.1.conv2.weight,49.50295352935791
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.1.conv3.weight,36.20236521500807
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.2.conv1.weight,37.26696571936974
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.2.conv2.weight,66.16827823804772
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.2.conv3.weight,57.69237497117784
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.3.conv1.weight,46.3013060433524
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.3.conv2.weight,93.77065200805664
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.3.conv3.weight,88.23594580756293
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.4.conv1.weight,62.91465107599894
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.4.conv2.weight,95.78713671366374
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.4.conv3.weight,60.04400793711344
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.5.conv1.weight,93.6068468093872
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.5.conv2.weight,126.15316755875297
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer3.5.conv3.weight,80.01006622314453
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer4.0.conv1.weight,427.9145677354601
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer4.0.conv2.weight,423.34149169921875
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer4.0.conv3.weight,358.4204745822483
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer4.0.downsample.0.weight,463.7655334472656
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer4.1.conv1.weight,164.9989652633667
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer4.1.conv2.weight,296.249743991428
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer4.1.conv3.weight,282.586706161499
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer4.2.conv1.weight,507.64766777886285
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer4.2.conv2.weight,430.03880462646487
resnet50_no_weights,IMAGENET100,trained_fp32,,,layer4.2.conv3.weight,81.19551520512022
resnet50_no_weights,IMAGENET100,trained_fp32,,,fc.weight,12.648089262155386
resnet50_no_weights,IMAGENET100,random,42,3,conv1.weight,6.555815741073253
resnet50_no_weights,IMAGENET100,random,42,3,layer1.0.conv1.weight,0.20464583300054073
resnet50_no_weights,IMAGENET100,random,42,3,layer1.0.conv2.weight,1.7269031680547273
resnet50_no_weights,IMAGENET100,random,42,3,layer1.0.conv3.weight,0.6632451318031134
resnet50_no_weights,IMAGENET100,random,42,3,layer1.0.downsample.0.weight,1.1337562556619998
resnet50_no_weights,IMAGENET100,random,42,3,layer1.1.conv1.weight,0.22831646059498642
resnet50_no_weights,IMAGENET100,random,42,3,layer1.1.conv2.weight,2.151260268303656
resnet50_no_weights,IMAGENET100,random,42,3,layer1.1.conv3.weight,0.9312475765905073
resnet50_no_weights,IMAGENET100,random,42,3,layer1.2.conv1.weight,0.33969767540693285
resnet50_no_weights,IMAGENET100,random,42,3,layer1.2.conv2.weight,2.862805011016982
resnet50_no_weights,IMAGENET100,random,42,3,layer1.2.conv3.weight,2.0326294004917145
resnet50_no_weights,IMAGENET100,random,42,3,layer2.0.conv1.weight,0.5877218500182435
resnet50_no_weights,IMAGENET100,random,42,3,layer2.0.conv2.weight,5.151271592486989
resnet50_no_weights,IMAGENET100,random,42,3,layer2.0.conv3.weight,3.356151189122881
